,model_id,model_name,mean_residual_deviance,rmse,mse,mae,rmsle,presence_stacked_ensemble_bom
0,0,GBM_1_AutoML_20190410_190849,2432871.929631042,1559.7666266564,2432871.929631042,553.0927171093,,True
1,1,GBM_2_AutoML_20190410_190849,91525486.15847117,9566.8953249459,91525486.15847117,6317.3460512659,0.785580928,False
2,2,StackedEnsemble_AllModels_AutoML_20190410_190849,1216401141.2938516,34876.9428318173,1216401141.2938516,25444.6980463193,1.1227644899,False
3,3,StackedEnsemble_BestOfFamily_AutoML_20190410_190849,1266070288.4865232,35581.8814635556,1266070288.4865232,25963.4981028166,1.1304203247,False
4,4,GLM_grid_1_AutoML_20190410_190849_model_1,1367972467.9624774,36986.1118254201,1367972467.9624774,27018.339579616,1.1451764988,True
